date; title; description; image
2024-04-15;Effect Handlers - Alessio Duè, Yuri Andriaccio (Room R1);Effect handlers have the potential to influence the design of the next 700 programming languages. <br><br> We'll be discovering what they are, why they are useful and how to implement them in a simple interpreter.; handlers.jpg
2024-04-18;Yoneda Lemma - Andrea Simone Costa (CTCC Seminar);Andrea's <em>"Category Theory and Cybernetic Culture"</em> exam seminar.;yoneda.jpg
2024-04-22;Frog Computing - Matteo Simone (Room R1);Agent-based simulation of a complex system of frogs.;frogs.jpg
2024-05-06;Coqshop - Lorenzo Pace (Room X7); Introduction to the Coq proof assistant.;coqshop.jpg
2024-06-20;From the search for the truth to symbolic calculus - Giuliano Gorgone (Room R1); Il seminario che vi presentiamo ha carattere divulgativo e si propone di gettare luce – e di stimolare una riflessione – sul profondo rapporto che lega filosofia, linguistica e informatica, inserendo quest’ultima nel florido contesto scientifico-culturale che l’ha generata. <br><br>Ripercorreremo insieme, anche con l'ausilio di esempi concreti, alcune tappe fondamentali del processo che culmina nella nascita e nello sviluppo dell’informatica, intesa sia nella sua dimensione pratica, sia nella sua dimensione teorica.Cercheremo altresì di tracciare un fil rouge tra le questioni fondazionali concernenti il tema del linguaggio e alcuni problemi tipici dell'informatica teorica. <br><br>Il nostro punto di partenza sarà rappresentato (ma non solo) dai contributi offerti dalle opere di Gottlob Frege, Leibniz e Cartesio.;gg.jpg
2024-07-15;Driftin' In Ghezzano - Lorenzo Pace (Mega Seminar, room X7); Implementation of macroscopic and microscopic traffic models (i.e. vroom vroom).;mega.jpg
2024-07-15;Uta Stansburiana Sillycon Desert - Alessandro Scala, Salvatore Salerno (Mega Seminar, room X7); Rock-Paper-Scissors behaviour in the reproduction of Uta Stansburiana lizards;mega.jpg
2024-07-15;Frog Checking - Matteo Simone (Mega Seminar, room X7); Frogs pt. 2: Introduction to PRISM for the Statistical Model Checking of your favourite frog population;mega.jpg
2024-07-15;Bare Metal Lambda-Calculus - Alessandro Scala, Lorenzo Pace (Mega Seminar, room X7); λ-Calculus compiler to 16 bit x86 assembly, integrated with BIOS. A utopian project set in the 90's of a parallel timeline.;mega.jpg
2024-10-22;Higher-Kinded Polymorphism in OCaml - Alessio Duè (Room M1, 14:00) ; Alessio's seminar on higher-kinded polymorphism in OCaml. This is clearly a placeholder description lol. ;higher-kinded.jpg
